"origin" "year" "month" "day" "hour" "temp" "dewp" "humid" "wind_dir" "wind_speed" "wind_gust" "precip" "pressure" "visib" "time_hour"
"EWR" 2013 1 1 1 39.02 26.06 59.37 270 10.35702 NA 0 1012 10 2013-01-01 01:00:00
"EWR" 2013 1 1 2 39.02 26.96 61.63 250 8.05546 NA 0 1012.3 10 2013-01-01 02:00:00
"EWR" 2013 1 1 3 39.02 28.04 64.43 240 11.5078 NA 0 1012.5 10 2013-01-01 03:00:00
"EWR" 2013 1 1 4 39.92 28.04 62.21 250 12.65858 NA 0 1012.2 10 2013-01-01 04:00:00
"EWR" 2013 1 1 5 39.02 28.04 64.43 260 12.65858 NA 0 1011.9 10 2013-01-01 05:00:00
"EWR" 2013 1 1 6 37.94 28.04 67.21 240 11.5078 NA 0 1012.4 10 2013-01-01 06:00:00
"EWR" 2013 1 1 7 39.02 28.04 64.43 240 14.96014 NA 0 1012.2 10 2013-01-01 07:00:00
"EWR" 2013 1 1 8 39.92 28.04 62.21 250 10.35702 NA 0 1012.2 10 2013-01-01 08:00:00
"EWR" 2013 1 1 9 39.92 28.04 62.21 260 14.96014 NA 0 1012.7 10 2013-01-01 09:00:00
"EWR" 2013 1 1 10 41 28.04 59.65 260 13.80936 NA 0 1012.4 10 2013-01-01 10:00:00
