"index" "country" "1952" "1957" "1962" "1967" "1972" "1977" "1982" "1987" "1992"
"1" "El Salvador" -6 -5 -3 0 -1 -6 2 6 7
"2" "Estonia" -9 -7 -7 -7 -7 -7 -7 -7 6
"3" "Ethiopia" -9 -9 -9 -9 -9 -7 -7 -8 0
"4" "Finland" 10 10 10 10 10 10 10 10 10
"5" "France" 10 10 5 5 8 8 8 9 9
"6" "Georgia" -9 -7 -7 -7 -7 -7 -7 -7 4
"7" "Germany" 10 10 10 10 10 10 10 10 10
"8" "Greece" 4 4 4 -7 -7 8 8 10 10
"9" "Guatemala" 2 -6 -5 3 1 -3 -7 3 3
"10" "Haiti" -5 -5 -9 -9 -10 -9 -9 -8 -7
"11" "Honduras" -3 -1 -1 -1 -1 -1 6 5 6
